node,value,variable,i1,i2
27,0.0,C_heat_unmet,12
27,0.0,C_heat_unmet,20
27,-8.64664714139708e-7,C_heat_unmet,2
27,0.0,C_heat_unmet,6
27,0.5082563781738275,C_heat_unmet,22
27,0.0,C_heat_unmet,11
27,0.0,C_heat_unmet,13
27,0.0,C_heat_unmet,5
27,0.0,C_heat_unmet,15
27,0.0,C_heat_unmet,16
27,0.0,C_heat_unmet,14
27,0.0,C_heat_unmet,21
27,0.0,C_heat_unmet,7
27,0.0,C_heat_unmet,8
27,0.0,C_heat_unmet,17
27,0.0,C_heat_unmet,10
27,0.0,C_heat_unmet,19
27,0.0,C_heat_unmet,9
27,0.0,C_heat_unmet,18
27,0.0,C_heat_unmet,3
27,0.0,invest_master,HeatPump
27,0.0,invest_master,Geothermal
27,0.0,invest_master,Boiler
27,414073.07865711185,obj,
27,0.02928446827306432,invest,HeatPump
27,0.013306168004086185,invest,Geothermal
27,0.7281507659423299,invest,Boiler
23,0.0,C_heat_prod,HeatPump,15
23,0.05506481170654351,C_heat_prod,Geothermal,9
23,0.149024620056153,C_heat_prod,Geothermal,17
23,0.0,C_heat_prod,HeatPump,3
23,0.13338111877441475,C_heat_prod,Geothermal,16
23,0.007164611816406825,C_heat_prod,Geothermal,3
23,0.022084655761719325,C_heat_prod,Geothermal,5
23,0.0,C_heat_prod,HeatPump,17
23,0.18786434173584052,C_heat_prod,Geothermal,19
23,0.0,C_heat_prod,HeatPump,6
23,0.09490620930989652,C_heat_prod,Geothermal,13
23,0.01455368041992245,C_heat_prod,Geothermal,4
23,0.25281719207763753,C_heat_prod,Geothermal,21
23,0.21399482727050853,C_heat_prod,Geothermal,20
23,0.0,C_heat_prod,HeatPump,19
23,8.646647141397078e-7,C_heat_prod,HeatPump,2
23,0.0,C_heat_prod,HeatPump,12
23,8.646647141397078e-7,C_heat_prod,Geothermal,2
23,0.0,C_heat_prod,HeatPump,16
23,0.04622634887695375,C_heat_prod,Geothermal,8
23,0.16683003743489652,C_heat_prod,Geothermal,18
23,0.0,C_heat_prod,HeatPump,18
23,0.0,C_heat_prod,HeatPump,4
23,0.0,C_heat_prod,HeatPump,1
23,0.25281719207763753,C_heat_prod,Geothermal,22
23,0.0,C_heat_prod,HeatPump,7
23,0.06419891357421925,C_heat_prod,Geothermal,10
23,0.25543918609619,C_heat_prod,HeatPump,22
23,0.0,C_heat_prod,HeatPump,13
23,0.0,C_heat_prod,HeatPump,8
23,0.0,C_heat_prod,HeatPump,9
23,0.0,C_heat_prod,HeatPump,14
23,0.1193006261189785,C_heat_prod,Geothermal,15
23,0.0,C_heat_prod,HeatPump,10
23,0.037912216186524,C_heat_prod,Geothermal,7
23,0.08419937133789125,C_heat_prod,Geothermal,12
23,0.029816029866537003,C_heat_prod,Geothermal,6
23,0.10652679443359425,C_heat_prod,Geothermal,14
23,0.0,C_heat_prod,HeatPump,11
23,0.0,C_heat_prod,HeatPump,20
23,0.0,C_heat_prod,Geothermal,1
23,0.0,C_heat_prod,HeatPump,21
23,0.07401997884114651,C_heat_prod,Geothermal,11
23,0.0,C_heat_prod,HeatPump,5
23,0.0,H_heat_unmet,4
