n,p,depth,degree
1,-,0,5
2,1,1,2
3,1,1,2
4,1,1,2
5,1,1,2
6,1,1,2
7,2,2,2
8,3,2,2
9,4,2,2
10,5,2,2
11,6,2,2
12,7,3,2
13,8,3,2
14,9,3,2
15,10,3,2
16,11,3,2
17,12,4,2
18,13,4,2
19,14,4,2
20,15,4,2
21,16,4,2
22,17,5,2
23,18,5,2
24,19,5,2
25,20,5,2
26,21,5,2
27,22,6,1
28,23,6,1
29,24,6,1
30,25,6,1
31,26,6,1
