quantile,variable,count,technology,heat_production,primary_energy,CO2_emissions,OpEx,Q,period,ssp
18,CDH,3.0,BTES,0.0,0.0,0.0,0.0,0.79596,2020s,past
1,CDH,617.7500000000001,unmet_demand,0.0,0.0,0.0,0.0,0.04422,2020s,past
2,CDH,517.875,unmet_demand,0.0,0.0,0.0,0.0,0.08844,2020s,past
3,CDH,421.95833333333337,unmet_demand,0.0,0.0,0.0,0.0,0.13266,2020s,past
4,CDH,333.7916666666667,unmet_demand,0.0,0.0,0.0,0.0,0.17688,2020s,past
5,CDH,249.0,unmet_demand,0.0,0.0,0.0,0.0,0.22110000000000002,2020s,past
6,CDH,184.66666666666666,unmet_demand,0.0,0.0,0.0,0.0,0.26532,2020s,past
7,CDH,133.08333333333331,unmet_demand,0.0,0.0,0.0,0.0,0.30954000000000004,2020s,past
8,CDH,93.25,unmet_demand,0.0,0.0,0.0,0.0,0.35376,2020s,past
9,CDH,59.041666666666664,unmet_demand,0.0,0.0,0.0,0.0,0.39798,2020s,past
10,CDH,38.0,unmet_demand,0.0,0.0,0.0,0.0,0.44220000000000004,2020s,past
11,CDH,23.458333333333332,unmet_demand,0.0,0.0,0.0,0.0,0.48642,2020s,past
12,CDH,13.958333333333332,unmet_demand,0.0,0.0,0.0,0.0,0.53064,2020s,past
13,CDH,7.241666666666667,unmet_demand,0.0,0.0,0.0,0.0,0.57486,2020s,past
14,CDH,6.0,unmet_demand,0.0,0.0,0.0,0.0,0.6190800000000001,2020s,past
15,CDH,4.583333333333333,unmet_demand,0.0,0.0,0.0,0.0,0.6633,2020s,past
16,CDH,3.25,unmet_demand,0.0,0.0,0.0,0.0,0.70752,2020s,past
17,CDH,5.5,unmet_demand,0.0,0.0,0.0,0.0,0.7517400000000001,2020s,past
18,CDH,3.0,unmet_demand,0.0,0.0,0.0,0.0,0.79596,2020s,past
1,CDH,659.3333333333334,HeatPump,0.0,0.0,0.0,0.0,0.04422,2030s,ssp126
2,CDH,535.3333333333334,HeatPump,0.0,0.0,0.0,0.0,0.08844,2030s,ssp126
3,CDH,455.0,HeatPump,0.044219999999999995,0.004296071406885664,0.0006444107110328497,1.3224870950344043,0.13266,2030s,ssp126
4,CDH,350.0,HeatPump,0.08844,0.00974903545838692,0.001462355318758038,3.0011078405458758,0.17688,2030s,ssp126
5,CDH,268.3333333333333,HeatPump,0.13266,0.01638890604731608,0.002458335907097412,5.0451016048215465,0.22110000000000002,2030s,ssp126
6,CDH,221.5,HeatPump,0.17687999999999998,0.024246744345442082,0.003637011651816312,7.464030146717477,0.26532,2030s,ssp126
7,CDH,151.5,HeatPump,0.22110000000000002,0.03335470488402791,0.005003205732604187,10.267791800924762,0.30954000000000004,2030s,ssp126
8,CDH,95.16666666666667,HeatPump,0.26532,0.04374608408903546,0.006561912613355318,13.46663641887156,0.35376,2030s,ssp126
9,CDH,60.833333333333336,HeatPump,0.30954,0.05545537142491522,0.008318305713737283,17.0711811126425,0.39798,2030s,ssp126
10,CDH,38.833333333333336,HeatPump,0.35376,0.0685183033120279,0.010277745496804186,21.09242685272284,0.44220000000000004,2030s,ssp126
