,index,td,th,solar_gains,temperature
0,0,12,0,0.0030544010847199524,19.163522070148368
1,1,12,1,0.009484125333386976,18.810757953024282
2,2,12,2,0.015453804428826715,18.488589622705724
3,3,12,3,0.025940787958240865,18.194107438830322
4,4,12,4,1.0886344849325114,17.955124938270238
5,5,12,5,8.71089756096178,17.95410992181473
6,6,12,6,22.28010220474574,18.28107522019163
7,7,12,7,37.93602702206576,18.8762925403894
8,8,12,8,51.06188759485393,19.626482135425267
9,9,12,9,59.73664198697668,20.4580991975707
10,10,12,10,63.6626618844329,21.284782861886786
11,11,12,11,65.81145009005613,22.046129871371456
12,12,12,12,69.44443736861619,22.662646026977352
13,13,12,13,73.26555441333869,23.04105499489116
14,14,12,14,73.2063584178692,23.13577093899687
15,15,12,15,66.11722992037491,22.92752101408357
16,16,12,16,52.03855514216425,22.447632480431178
17,17,12,17,33.30032802893821,21.717825454344712
18,18,12,18,14.758911569840036,20.801667897893946
19,19,12,19,3.03405909903248,19.871162917847304
20,20,12,20,0.0,19.110854161766127
21,21,12,21,0.0,18.521986079036633
22,22,12,22,0.00028499658814749125,18.035242314161742
23,23,12,23,0.0013177892587738172,17.610639637258174
24,24,4,0,0.0015030070296550109,8.4493283912489
25,25,4,1,0.00113449941546885,8.37219190831873
26,26,4,2,0.0009590051612507515,8.286958475879942
27,27,4,3,0.0005557676818198888,8.196805870701217
28,28,4,4,0.0028968828283032393,8.108073837175231
29,29,4,5,0.17037600137103714,8.020712710668935
30,30,4,6,1.1738160158471405,7.952807762057729
31,31,4,7,3.6610328436638557,7.934488320711097
32,32,4,8,8.7069923719741,7.997548220629315
33,33,4,9,16.764939896762144,8.18303728651124
34,34,4,10,24.154276726475775,8.44728756177722
35,35,4,11,28.859667391383294,8.712779106440989
36,36,4,12,30.245184721030206,8.912212399951226
37,37,4,13,28.08271202807821,8.997031020233514
38,38,4,14,22.627756919744595,8.947837875061193
39,39,4,15,15.218974993636552,8.777264328239065
40,40,4,16,7.233663072183109,8.511417742897589
41,41,4,17,2.6340925280910494,8.23942624340649
42,42,4,18,0.6844866975258226,8.006257329001153
43,43,4,19,0.05475212231753235,7.820371239213505
44,44,4,20,0.0012866067751923893,7.672138808868062
45,45,4,21,0.0018525906982230322,7.544524730469945
46,46,4,22,0.0017647521524376865,7.4323244147181615
47,47,4,23,0.0016026203947721006,7.331581080611715
48,48,6,0,0.004735017167439862,10.416358126347209
49,49,6,1,0.005035539529316762,10.32437688054221
50,50,6,2,0.004658720129370793,10.231879502634838
51,51,6,3,0.003919301851188912,10.140812564334805
52,52,6,4,0.04075565014321567,10.05598878229537
53,53,6,5,0.8133869343910459,9.993689875211862
54,54,6,6,3.2372340840344305,9.987555411572286
55,55,6,7,7.728113192537562,10.073865107740774
56,56,6,8,14.827268261509326,10.27817822769855
57,57,6,9,23.42565073601442,10.599889670627196
58,58,6,10,30.629125387940185,10.980935309689238
59,59,6,11,35.5797200170208,11.359026986145757
60,60,6,12,37.70757640155546,11.667964235693368
61,61,6,13,36.61273015437708,11.851829123502679
62,62,6,14,31.873799843065044,11.881413767164648
63,63,6,15,24.291959683218433,11.761139957474537
64,64,6,16,14.66418752458029,11.505577209118012
65,65,6,17,6.748049377915872,11.17430841956931
66,66,6,18,2.391701702189634,10.849549941233642
67,67,6,19,0.37605099095867656,10.57036765050741
68,68,6,20,0.0011684065677608592,10.348095994710853
69,69,6,21,0.002540428032183553,10.164443426913193
70,70,6,22,0.0031239263543424204,10.003031860397828
71,71,6,23,0.004257379340970675,9.855812181067106
72,72,9,0,0.0,12.14144848725506
73,73,9,1,0.0,11.772720102143948
74,74,9,2,0.0,11.448497458502466
75,75,9,3,0.0,11.163604950052635
76,76,9,4,0.880012287180576,10.94405093539974
77,77,9,5,8.476244931691285,11.007133772578221
78,78,9,6,24.619558157808182,11.570101667927132
79,79,9,7,46.30069318827826,12.632822628084078
80,80,9,8,66.64392798070442,13.993240996593048
81,81,9,9,80.6178463884266,15.43925367585498
82,82,9,10,87.711451853335,16.841940090349958
83,83,9,11,91.99979635072341,18.09827457730994
84,84,9,12,96.4960952773168,19.0855347880293
85,85,9,13,99.85257888598039,19.719927146894598
86,86,9,14,96.58470894838689,19.969768848831116
87,87,9,15,84.17457983789572,19.84958983528482
88,88,9,16,63.08687378346209,19.377024738896964
89,89,9,17,37.58438247166119,18.561854179851963
90,90,9,18,15.696885387162496,17.50732791559284
91,91,9,19,3.471758389930254,16.446436355957005
92,92,9,20,0.0,15.578905505141062
93,93,9,21,0.0,14.91536954314328
94,94,9,22,0.0,14.375314219249946
95,95,9,23,0.0,13.903494287106717
96,96,15,0,0.0,34.25612640380859
97,97,15,1,0.0015740544824312027,33.2942008972168
98,98,15,2,0.012116798854159895,32.14768981933594
99,99,15,3,0.028258239362048004,31.192520141601562
100,100,15,4,2.5215055721829356,30.525156021118168
101,101,15,5,21.35625412788228,30.73745536804199
102,102,15,6,50.71282144995865,32.4416389465332
103,103,15,7,78.9169548482102,36.00837326049805
104,104,15,8,98.4267183831865,40.67373275756836
105,105,15,9,106.63159776845187,45.34846878051758
106,106,15,10,105.82585907784437,48.44265747070311
107,107,15,11,103.67299219017244,50.36121368408204
108,108,15,12,106.51932133035989,51.595722198486335
109,109,15,13,112.90047580047046,52.32281112670899
110,110,15,14,114.7850330986935,52.17754364013672
111,111,15,15,106.1404498810652,51.87179183959961
112,112,15,16,86.24422621026675,51.11783599853517
113,113,15,17,58.000348076253104,49.81372833251953
114,114,15,18,27.661922415511196,47.57978820800782
115,115,15,19,5.6908703269107255,44.18780136108398
116,116,15,20,0.0,41.08981323242188
117,117,15,21,0.0,38.9984016418457
118,118,15,22,0.0,41.513175964355476
119,119,15,23,0.0,40.28959274291992
120,120,2,0,5.941114722096916e-05,3.1848503794419822
121,121,2,1,0.0,3.0614643435040843
122,122,2,2,0.0,2.9504311448927147
123,123,2,3,0.0,2.846334716384017
124,124,2,4,0.0,2.750528122651202
125,125,2,5,0.009556805442760172,2.665303802707535
126,126,2,6,0.8008261620810077,2.6183312201865734
127,127,2,7,4.84882902060441,2.709945610641118
128,128,2,8,12.946127658340416,2.995764658342312
129,129,2,9,24.25188975464992,3.4724134758354634
130,130,2,10,33.5162948567574,4.016527414933562
131,131,2,11,38.634174423891594,4.50979253238657
132,132,2,12,39.30987006411136,4.882523900196516
133,133,2,13,35.27223342062584,5.0815238065459605
134,134,2,14,26.791481005062316,5.083694378245726
135,135,2,15,15.860052745824436,4.8944741342861775
136,136,2,16,5.796581819991353,4.563479898729241
137,137,2,17,1.2816950261947975,4.238171621848704
138,138,2,18,0.08428525655329591,3.987935510985527
139,139,2,19,0.001543647355047423,3.8073308573498594
140,140,2,20,0.0011895365347747789,3.665632962932823
141,141,2,21,0.0009546093868740267,3.543143483060156
142,142,2,22,0.0007235319649159666,3.439346007938293
143,143,2,23,0.0002576518926788984,3.3515650709514633
144,144,0,0,0.0,-17.15711784362793
145,145,0,1,0.0,-17.3564510345459
146,146,0,2,0.0,-17.941480636596676
