time_hours,time_years,g_function
24.0,0.0027378507871321013,1.7212219315144877
49.6038386468608,0.005658662861836732,2.078208660116032
76.91869504079764,0.008774662906775912,2.2949221830120052
106.05891069798649,0.012098894672368982,2.454237101802107
137.14646819054443,0.01564527357866124,2.583564293996592
170.31150177239704,0.01942864496605031,2.6966210345312707
205.69284212854174,0.023464846238711125,2.8017147059558503
243.43859752805818,0.027770773160855373,2.904191581627479
283.7067738136039,0.03236445058334519,3.007518909669182
326.6659358227062,0.0372651078967267,3.1139408173082983
372.4959130095983,0.04249325952653415,3.224925105965988
421.3885522213691,0.048070790807822165,3.3414683427444056
473.5485207795924,0.05402104959840205,3.4642967218422664
529.194163229179,0.06036894401428006,3.5939921628988705
588.5584153408511,0.0671410466964238,3.7310676172806243
651.8897791933016,0.07436570604532303,3.8760099094832645
719.4533634167925,0.0820731648889793,4.029303078407321
791.5319929527027,0.09029568708107491,4.191440704394722
868.4273929745489,0.09906769255926864,4.362932371775785
950.4614519264309,0.10842590142897911,4.544307170350153
1037.977568966058,0.11840948767579947,4.736115759640239
1131.3420914528244,0.12906024314999137,4.9389317419498955
1230.9458484983402,0.14042275250950723,5.153352685285836
1337.2057869989449,0.1525445798538609,5.380000941016345
1450.5667169987298,0.16547646783010836,5.6195243116934455
1571.503173689254,0.17927255004440495,5.87259658532483
1700.5214038403892,0.19399057766830813,6.1399179353817335
1838.1614849776067,0.20969216118841055,6.42221517806568
1984.9995861766965,0.22644302831128185,6.720241874291134
2141.650379939734,0.24431329910332353,7.034778261173029
2308.769615248546,0.2633777795172879,7.366630995581509
2487.0568625666124,0.2837162745341789,7.716632690137482
2677.2584422801433,0.30541392223136477,8.08564121971024
2880.1705488369457,0.32856155017533034,8.474538774003141
3096.642583660905,0.3532560556309497,8.884230629209545
3327.580710793833,0.37960081117885386,9.31564360907789
3573.951650148822,0.40770609743883435,9.769724203186893
3836.7867242538496,0.43768956471068327,10.2474363080085
4117.186175425551,0.46967672546492706,10.749758554712097
4416.323771445073,0.503801479745046,11.277681187003429
4735.451719015646,0.5402066756805436,11.832202453021614
5075.905905569844,0.5790447074572034,12.414324477890082
5439.111491369092,0.6204781532476719,13.025048588352151
5826.588875304196,0.6646804557727808,13.66537006834469
6239.96005937012,0.7118366483424732,14.336272334548742
6680.955438457022,0.7621441294155854,15.038720533893269
7151.4210438800355,0.8158134889208345,15.773654580469467
7653.326270969556,0.873069389798033,16.541981666947837
8188.77212307023,0.9341515084497182,17.34456830482657
8760.0,0.999315537303217,18.182231958627302
