"year","gcm","ssp","avg"
"2018","NorESM2-MM","ssp585","11.012102116813777"
"2019","CMCC-CM2-SR5","ssp126","9.809914692380007"
"2019","CMCC-CM2-SR5","ssp245","12.428001505657356"
"2019","CMCC-CM2-SR5","ssp370","10.578705120290849"
"2019","CMCC-CM2-SR5","ssp585","11.279650602594112"
"2019","EC-Earth3-Veg","ssp126","11.297073383859601"
"2019","EC-Earth3-Veg","ssp245","11.342944504463084"
"2019","EC-Earth3-Veg","ssp370","10.837522471589185"
"2019","EC-Earth3-Veg","ssp585","11.214957773708525"
"2019","IPSL-CM6A-LR","ssp126","11.097632556819068"
"2019","IPSL-CM6A-LR","ssp245","11.996880480540904"
"2019","IPSL-CM6A-LR","ssp370","11.048953286576397"
"2019","IPSL-CM6A-LR","ssp585","10.496008386970901"
"2019","MIROC6","ssp126","11.480181271676756"
"2019","MIROC6","ssp245","10.724036322565912"
"2019","MIROC6","ssp370","11.603175194660434"
"2019","MIROC6","ssp585","11.7755960478121"
"2019","MPI-ESM1-2-HR","ssp126","10.257381297559817"
"2019","MPI-ESM1-2-HR","ssp245","10.290596789647504"
"2019","MPI-ESM1-2-HR","ssp370","11.000021711233408"
"2019","MPI-ESM1-2-HR","ssp585","10.745164269842642"
"2019","NorESM2-MM","ssp126","10.201890907400216"
"2019","NorESM2-MM","ssp245","10.404392834253555"
"2019","NorESM2-MM","ssp370","9.713555789610146"
"2019","NorESM2-MM","ssp585","10.866312874418568"
"2020","CMCC-CM2-SR5","ssp126","11.405642545646723"
"2020","CMCC-CM2-SR5","ssp245","11.72326864445487"
"2020","CMCC-CM2-SR5","ssp370","10.45974274136411"
"2020","CMCC-CM2-SR5","ssp585","11.317771973733546"
"2020","EC-Earth3-Veg","ssp126","11.535273802693855"
"2020","EC-Earth3-Veg","ssp245","11.347803878440892"
"2020","EC-Earth3-Veg","ssp370","11.227528084103206"
"2020","EC-Earth3-Veg","ssp585","11.180438080662766"
"2020","IPSL-CM6A-LR","ssp126","9.800709774058957"
"2020","IPSL-CM6A-LR","ssp245","10.620181202051103"
"2020","IPSL-CM6A-LR","ssp370","10.564006845267784"
"2020","IPSL-CM6A-LR","ssp585","10.220501057215568"
"2020","MIROC6","ssp126","11.018610654165926"
"2020","MIROC6","ssp245","11.89908299364153"
"2020","MIROC6","ssp370","11.857110869992907"
"2020","MIROC6","ssp585","11.187055340605202"
"2020","MPI-ESM1-2-HR","ssp126","11.800747982809236"
"2020","MPI-ESM1-2-HR","ssp245","11.665471614488323"
"2020","MPI-ESM1-2-HR","ssp370","12.09383621504172"
"2020","MPI-ESM1-2-HR","ssp585","8.90812404203154"
"2020","NorESM2-MM","ssp126","11.595066648140604"
"2020","NorESM2-MM","ssp245","11.305239346380285"
"2020","NorESM2-MM","ssp370","10.122072113471555"
"2020","NorESM2-MM","ssp585","10.617424120539486"
"2021","CMCC-CM2-SR5","ssp126","11.225436785753336"
"2021","CMCC-CM2-SR5","ssp245","12.474047528913129"
"2021","CMCC-CM2-SR5","ssp370","11.159695093870614"
"2021","CMCC-CM2-SR5","ssp585","11.133922471042396"
"2021","EC-Earth3-Veg","ssp126","13.063295694066452"
"2021","EC-Earth3-Veg","ssp245","11.622628310457157"
"2021","EC-Earth3-Veg","ssp370","12.050937160191287"
"2021","EC-Earth3-Veg","ssp585","11.097019914134586"
"2021","IPSL-CM6A-LR","ssp126","10.644352438798192"
"2021","IPSL-CM6A-LR","ssp245","11.618168791640603"
"2021","IPSL-CM6A-LR","ssp370","11.993589147400073"
"2021","IPSL-CM6A-LR","ssp585","11.56575937443131"
"2021","MIROC6","ssp126","11.99181679776066"
"2021","MIROC6","ssp245","11.249077042781021"
"2021","MIROC6","ssp370","10.701859331664805"
"2021","MIROC6","ssp585","10.510609994044914"
"2021","MPI-ESM1-2-HR","ssp126","10.702933539423908"
"2021","MPI-ESM1-2-HR","ssp245","11.297082194414267"
"2021","MPI-ESM1-2-HR","ssp370","10.726340196492295"
"2021","MPI-ESM1-2-HR","ssp585","10.478133576614336"
"2021","NorESM2-MM","ssp126","10.900596579870891"
"2021","NorESM2-MM","ssp245","11.125464416113331"
"2021","NorESM2-MM","ssp370","10.1580852573081"
"2021","NorESM2-MM","ssp585","10.213291219971461"
"2022","CMCC-CM2-SR5","ssp126","10.718084092195761"
"2022","CMCC-CM2-SR5","ssp245","10.341379981767679"
"2022","CMCC-CM2-SR5","ssp370","11.106053615938585"
"2022","CMCC-CM2-SR5","ssp585","10.193949464213775"
"2022","EC-Earth3-Veg","ssp126","11.261418152368334"
"2022","EC-Earth3-Veg","ssp245","11.321813621019045"
"2022","EC-Earth3-Veg","ssp370","11.77052520789104"
"2022","EC-Earth3-Veg","ssp585","10.30282927378438"
"2022","IPSL-CM6A-LR","ssp126","10.913522248795823"
"2022","IPSL-CM6A-LR","ssp245","11.668330800647212"
"2022","IPSL-CM6A-LR","ssp370","11.729848964133865"
"2022","IPSL-CM6A-LR","ssp585","10.831704153012168"
"2022","MIROC6","ssp126","12.149449995216344"
"2022","MIROC6","ssp245","11.521891766060653"
"2022","MIROC6","ssp370","11.974517774639107"
"2022","MIROC6","ssp585","11.637961298597553"
"2022","MPI-ESM1-2-HR","ssp126","11.567689385327519"
"2022","MPI-ESM1-2-HR","ssp245","11.8921493833117"
"2022","MPI-ESM1-2-HR","ssp370","11.60627893122089"
"2022","MPI-ESM1-2-HR","ssp585","11.573813637961063"
"2022","NorESM2-MM","ssp126","12.201847475643332"
"2022","NorESM2-MM","ssp245","10.953415869361443"
"2022","NorESM2-MM","ssp370","10.54489363113431"
"2022","NorESM2-MM","ssp585","12.467093887492444"
"2023","CMCC-CM2-SR5","ssp126","11.4291295267258"
"2023","CMCC-CM2-SR5","ssp245","10.354775448297161"
"2023","CMCC-CM2-SR5","ssp370","11.344753822525002"
"2023","CMCC-CM2-SR5","ssp585","10.674998175427499"
"2023","EC-Earth3-Veg","ssp126","10.344372548345119"
"2023","EC-Earth3-Veg","ssp245","10.753360582325561"
"2023","EC-Earth3-Veg","ssp370","11.773443036995506"
"2023","EC-Earth3-Veg","ssp585","11.522838188586974"
"2023","IPSL-CM6A-LR","ssp126","11.41760019709785"
"2023","IPSL-CM6A-LR","ssp245","10.40966002696957"
"2023","IPSL-CM6A-LR","ssp370","11.413023813254068"
"2023","IPSL-CM6A-LR","ssp585","11.557153063911628"
"2023","MIROC6","ssp126","11.072577023487804"
"2023","MIROC6","ssp245","12.757190399517711"
"2023","MIROC6","ssp370","11.627990210328472"
"2023","MIROC6","ssp585","10.41404787462612"
"2023","MPI-ESM1-2-HR","ssp126","11.358842981982866"
"2023","MPI-ESM1-2-HR","ssp245","9.962721758655174"
"2023","MPI-ESM1-2-HR","ssp370","11.366586127066475"
"2023","MPI-ESM1-2-HR","ssp585","11.102273690933933"
"2023","NorESM2-MM","ssp126","11.037499944897172"
"2023","NorESM2-MM","ssp245","10.473435188941833"
"2023","NorESM2-MM","ssp370","10.756376713200167"
"2023","NorESM2-MM","ssp585","11.137312232326321"
"2024","CMCC-CM2-SR5","ssp126","11.795751464110683"
"2024","CMCC-CM2-SR5","ssp245","11.5672090948525"
"2024","CMCC-CM2-SR5","ssp370","11.84304418598636"
"2024","CMCC-CM2-SR5","ssp585","10.851796260543127"
"2024","EC-Earth3-Veg","ssp126","11.040396759452824"
"2024","EC-Earth3-Veg","ssp245","11.152027419580875"
"2024","EC-Earth3-Veg","ssp370","11.619342863775922"
"2024","EC-Earth3-Veg","ssp585","10.875543390743248"
"2024","IPSL-CM6A-LR","ssp126","10.784432435985169"
"2024","IPSL-CM6A-LR","ssp245","12.497402911164793"
"2024","IPSL-CM6A-LR","ssp370","12.231204401605417"
"2024","IPSL-CM6A-LR","ssp585","10.380989478523421"
"2024","MIROC6","ssp126","11.995864666019738"
"2024","MIROC6","ssp245","11.93596914795977"
"2024","MIROC6","ssp370","10.88960408796268"
"2024","MIROC6","ssp585","11.528049498605538"
"2024","MPI-ESM1-2-HR","ssp126","12.003452115217684"
"2024","MPI-ESM1-2-HR","ssp245","8.906392645559906"
"2024","MPI-ESM1-2-HR","ssp370","11.298173677664163"
"2024","MPI-ESM1-2-HR","ssp585","12.260544023347297"
"2024","NorESM2-MM","ssp126","10.632107847320375"
"2024","NorESM2-MM","ssp245","10.03037595967408"
"2024","NorESM2-MM","ssp370","10.240939742362166"
"2024","NorESM2-MM","ssp585","10.278973634394"
"2025","CMCC-CM2-SR5","ssp126","10.748927181474354"
"2025","CMCC-CM2-SR5","ssp245","10.829430246265865"
"2025","CMCC-CM2-SR5","ssp370","10.919269746255564"
"2025","CMCC-CM2-SR5","ssp585","11.110989500702274"
"2025","EC-Earth3-Veg","ssp126","12.144668715574447"
"2025","EC-Earth3-Veg","ssp245","11.20699314136509"
"2025","EC-Earth3-Veg","ssp370","10.965019955991483"
"2025","EC-Earth3-Veg","ssp585","11.717571851676203"
"2025","IPSL-CM6A-LR","ssp126","10.610852163939152"
"2025","IPSL-CM6A-LR","ssp245","11.920366113185557"
"2025","IPSL-CM6A-LR","ssp370","11.435316414945147"
"2025","IPSL-CM6A-LR","ssp585","11.812475757369056"
"2025","MIROC6","ssp126","12.513030864837063"
"2025","MIROC6","ssp245","11.97301568759767"
"2025","MIROC6","ssp370","11.714752041067307"
"2025","MIROC6","ssp585","11.155320693134888"
"2025","MPI-ESM1-2-HR","ssp126","10.863487457110415"
"2025","MPI-ESM1-2-HR","ssp245","12.7694985078791"
"2025","MPI-ESM1-2-HR","ssp370","10.51637989467703"
"2025","MPI-ESM1-2-HR","ssp585","10.47126097525765"
"2025","NorESM2-MM","ssp126","11.381337834349353"
"2025","NorESM2-MM","ssp245","10.299567303968356"
"2025","NorESM2-MM","ssp370","11.535756903962225"
"2025","NorESM2-MM","ssp585","10.374373905407904"
"2026","CMCC-CM2-SR5","ssp126","10.006485335352089"
"2026","CMCC-CM2-SR5","ssp245","10.752129490171308"
"2026","CMCC-CM2-SR5","ssp370","10.298983753623471"
"2026","CMCC-CM2-SR5","ssp585","10.003042958220584"
"2026","EC-Earth3-Veg","ssp126","11.577057856303686"
"2026","EC-Earth3-Veg","ssp245","11.475754966678366"
"2026","EC-Earth3-Veg","ssp370","11.20279537952912"
"2026","EC-Earth3-Veg","ssp585","13.026277202076638"
"2026","IPSL-CM6A-LR","ssp126","10.796103259763447"
"2026","IPSL-CM6A-LR","ssp245","12.375764843845074"
"2026","IPSL-CM6A-LR","ssp370","11.5654389435322"
"2026","IPSL-CM6A-LR","ssp585","11.295961176842072"
"2026","MIROC6","ssp126","11.95452409118566"
"2026","MIROC6","ssp245","11.377800228976758"
"2026","MIROC6","ssp370","11.940521316745182"
"2026","MIROC6","ssp585","12.229088987444468"
"2026","MPI-ESM1-2-HR","ssp126","10.775366960197648"
"2026","MPI-ESM1-2-HR","ssp245","11.52862406348799"
"2026","MPI-ESM1-2-HR","ssp370","11.594212226528933"
"2026","MPI-ESM1-2-HR","ssp585","11.736425921685495"
"2026","NorESM2-MM","ssp126","11.151664092995096"
"2026","NorESM2-MM","ssp245","10.509145581197739"
"2026","NorESM2-MM","ssp370","10.162326146442641"
"2026","NorESM2-MM","ssp585","10.261297119180002"
"2027","CMCC-CM2-SR5","ssp126","10.508150523638307"
"2027","CMCC-CM2-SR5","ssp245","11.018134192957705"
"2027","CMCC-CM2-SR5","ssp370","10.581266080898331"
"2027","CMCC-CM2-SR5","ssp585","11.57189633435474"
