SSP,Decade,Technology,NewCapacity,CumulativeCapacity,InvestmentCost
ssp126,2070s,NG_boiler,0.0,968.7152400268787,0.0
ssp126,2070s,ASHP,0.0,2050.90950106429,0.0
ssp126,2070s,E_boiler,0.0,0.0,0.0
ssp126,2070s,BTES,800.0,800.0,1.0183999956852986e6
ssp245,2070s,GSHP,0.0,449.78769827626854,0.0
ssp245,2070s,NG_boiler,0.0,1266.6540692725202,0.0
ssp245,2070s,ASHP,0.0,2050.90950106429,0.0
ssp245,2070s,E_boiler,0.0,0.0,0.0
ssp245,2070s,BTES,800.0,800.0,1.0183999956852986e6
ssp370,2070s,GSHP,0.0,449.78769827626854,0.0
ssp370,2070s,NG_boiler,0.0,1067.1360186672503,0.0
ssp370,2070s,ASHP,0.0,2050.90950106429,0.0
ssp370,2070s,E_boiler,0.0,0.0,0.0
ssp370,2070s,BTES,800.0,800.0,1.0183999956852986e6
ssp585,2070s,GSHP,0.0,449.78769827626854,0.0
ssp585,2070s,NG_boiler,94.2264078936796,1018.7546145991912,12343.659386443598
ssp585,2070s,ASHP,0.0,2050.90950106429,0.0
ssp585,2070s,E_boiler,0.0,0.0,0.0
ssp585,2070s,BTES,800.0,800.0,1.0183999956852986e6
ssp126,2080s,GSHP,449.78769827626854,449.78769827626854,375199.4999706258
ssp126,2080s,NG_boiler,1044.3976284487314,968.7152400268787,136816.08868247675
ssp126,2080s,ASHP,2050.90950106429,2050.90950106429,1.901596565093365e6
ssp126,2080s,E_boiler,0.0,0.0,0.0
ssp126,2080s,BTES,0.0,800.0,0.0
ssp245,2080s,GSHP,449.78769827626854,449.78769827626854,375199.4999706258
ssp245,2080s,NG_boiler,1018.7546145991912,1044.3976284487314,133456.85388400662
ssp245,2080s,ASHP,2050.90950106429,2050.90950106429,1.901596565093365e6
ssp245,2080s,E_boiler,0.0,0.0,0.0
ssp245,2080s,BTES,0.0,800.0,0.0
ssp370,2080s,GSHP,449.78769827626854,449.78769827626854,375199.4999706258
ssp370,2080s,NG_boiler,933.3965315581922,1046.5609518971055,122274.94505829463
ssp370,2080s,ASHP,2050.90950106429,2050.90950106429,1.901596565093365e6
ssp370,2080s,E_boiler,0.0,0.0,0.0
ssp370,2080s,BTES,0.0,800.0,0.0
ssp585,2080s,GSHP,449.78769827626854,449.78769827626854,375199.4999706258
ssp585,2080s,NG_boiler,839.1701236645126,933.3965315581922,109931.2856823525
ssp585,2080s,ASHP,2050.90950106429,2050.90950106429,1.901596565093365e6
ssp585,2080s,E_boiler,0.0,0.0,0.0
ssp585,2080s,BTES,0.0,800.0,0.0
ssp126,2090s,GSHP,0.0,449.78769827626854,0.0
ssp126,2090s,NG_boiler,0.0,1044.3976284487314,0.0
ssp126,2090s,ASHP,0.0,2050.90950106429,0.0
ssp126,2090s,E_boiler,0.0,0.0,0.0
ssp126,2090s,BTES,0.0,800.0,0.0
