SSP,Decade,Day,Hour,Loss_type,Value
past,2020s,4,7,Ventilation,-17.75553169983966
past,2020s,4,7,Solar,18.305164218319277
past,2020s,4,7,Internal,105.0
past,2020s,4,8,Wall,-560.1961423496548
past,2020s,4,8,Ventilation,-179.26276555188954
past,2020s,4,8,Solar,43.5349618598705
past,2020s,4,8,Internal,700.0
past,2020s,4,9,Wall,-545.4928855443785
past,2020s,4,9,Ventilation,-174.55772337420115
past,2020s,4,9,Solar,83.82469948381072
past,2020s,4,9,Internal,700.0
past,2020s,4,10,Wall,-526.4786665419413
past,2020s,4,10,Ventilation,-168.47317329342124
past,2020s,4,10,Solar,120.77138363237887
past,2020s,4,10,Internal,700.0
past,2020s,4,11,Wall,-509.4333277620737
past,2020s,4,11,Ventilation,-163.0186648838636
past,2020s,4,11,Solar,144.29833695691647
past,2020s,4,11,Internal,700.0
past,2020s,4,12,Wall,-499.20687575828754
past,2020s,4,12,Ventilation,-159.746200242652
past,2020s,4,12,Solar,151.22592360515102
past,2020s,4,12,Internal,700.0
past,2020s,4,13,Wall,-498.8304810558449
past,2020s,4,13,Ventilation,-159.6257539378704
past,2020s,4,13,Solar,140.41356014039104
past,2020s,4,13,Internal,700.0
past,2020s,4,14,Wall,-508.83117684118656
past,2020s,4,14,Ventilation,-162.82597658917973
past,2020s,4,14,Solar,113.13878459872298
past,2020s,4,14,Internal,700.0
past,2020s,4,15,Wall,-527.1931149592355
past,2020s,4,15,Ventilation,-168.70179678695536
past,2020s,4,15,Solar,76.09487496818276
past,2020s,4,15,Internal,700.0
past,2020s,4,16,Wall,-551.1341738939535
past,2020s,4,16,Ventilation,-176.36293564606513
past,2020s,4,16,Solar,36.16831536091555
past,2020s,4,16,Internal,700.0
past,2020s,4,17,Wall,-573.1825340472715
past,2020s,4,17,Ventilation,-183.41841089512687
past,2020s,4,17,Solar,13.170462640455247
past,2020s,4,17,Internal,700.0
past,2020s,4,18,Wall,-590.3883644563002
past,2020s,4,18,Ventilation,-188.92427662601608
past,2020s,4,18,Solar,3.422433487629113
past,2020s,4,18,Internal,700.0
past,2020s,4,19,Wall,-602.7295780528227
past,2020s,4,19,Ventilation,-192.87346497690328
past,2020s,4,19,Solar,0.27376061158766174
past,2020s,4,19,Internal,700.0
past,2020s,4,20,Wall,-611.410529733187
past,2020s,4,20,Ventilation,-195.65136951461986
past,2020s,4,20,Solar,0.0064330338759619465
past,2020s,4,20,Internal,700.0
past,2020s,4,21,Wall,-618.0511404645721
past,2020s,4,21,Ventilation,-24.722045618582882
past,2020s,4,21,Solar,0.00926295349111516
past,2020s,4,21,Internal,105.0
past,2020s,4,22,Wall,-609.1017016203928
past,2020s,4,22,Ventilation,-24.36406806481571
past,2020s,4,22,Solar,0.008823760762188432
past,2020s,4,22,Internal,105.0
past,2020s,4,23,Wall,-599.5459368180938
past,2020s,4,23,Ventilation,-23.981837472723754
past,2020s,4,23,Solar,0.008013101973860503
past,2020s,4,23,Internal,105.0
past,2020s,6,0,Wall,-452.1408984028895
past,2020s,6,0,Ventilation,-18.08563593611558
past,2020s,6,0,Solar,0.02367508583719931
past,2020s,6,0,Internal,105.0
past,2020s,6,1,Wall,-447.32596942551737
past,2020s,6,1,Ventilation,-17.893038777020696
past,2020s,6,1,Solar,0.02517769764658381
past,2020s,6,1,Internal,105.0
past,2020s,6,2,Wall,-442.7192986412777
past,2020s,6,2,Ventilation,-17.708771945651108
past,2020s,6,2,Solar,0.023293600646853964
past,2020s,6,2,Internal,105.0
past,2020s,6,3,Wall,-438.15782780573784
past,2020s,6,3,Ventilation,-17.526313112229513
past,2020s,6,3,Solar,0.019596509255944562
past,2020s,6,3,Internal,105.0
past,2020s,6,4,Wall,-433.2549122219356
past,2020s,6,4,Ventilation,-17.330196488877426
past,2020s,6,4,Solar,0.20377825071607836
past,2020s,6,4,Internal,105.0
past,2020s,6,5,Wall,-426.7261137732801
past,2020s,6,5,Ventilation,-17.069044550931206
past,2020s,6,5,Solar,4.06693467195523
past,2020s,6,5,Internal,105.0
past,2020s,6,6,Wall,-416.05926340937117
past,2020s,6,6,Ventilation,-16.642370536374848
past,2020s,6,6,Solar,16.186170420172154
past,2020s,6,6,Internal,105.0
past,2020s,6,7,Wall,-398.77063893170657
past,2020s,6,7,Ventilation,-15.950825557268264
past,2020s,6,7,Solar,38.64056596268781
past,2020s,6,7,Internal,105.0
past,2020s,6,8,Wall,-377.745741784116
past,2020s,6,8,Ventilation,-120.87863737091712
past,2020s,6,8,Solar,74.13634130754664
past,2020s,6,8,Internal,700.0
past,2020s,6,9,Wall,-361.19255842157486
