SSP,Decade,Day,Hour,T_min_unmet,T_max_unmet,penalty_T_min_unmet,penalty_T_max_unmet
past,2020s,2,0,0.0,0.0,0.0,0.0
past,2020s,2,1,0.0,0.0,0.0,0.0
past,2020s,2,2,0.0,0.0,0.0,0.0
past,2020s,2,3,0.0,0.0,0.0,0.0
past,2020s,2,4,0.0,0.0,0.0,0.0
past,2020s,2,5,0.0,0.0,0.0,0.0
past,2020s,2,6,0.0,0.0,0.0,0.0
past,2020s,2,7,0.0,0.0,0.0,0.0
past,2020s,2,8,0.0,0.0,0.0,0.0
past,2020s,2,9,0.0,0.0,0.0,0.0
past,2020s,2,10,0.0,0.0,0.0,0.0
past,2020s,2,11,0.0,0.0,0.0,0.0
past,2020s,2,12,0.0,0.0,0.0,0.0
past,2020s,2,13,0.0,0.0,0.0,0.0
past,2020s,2,14,0.0,0.0,0.0,0.0
past,2020s,2,15,0.0,0.0,0.0,0.0
past,2020s,2,16,0.0,0.0,0.0,0.0
past,2020s,2,17,0.0,0.0,0.0,0.0
past,2020s,2,18,0.0,0.0,0.0,0.0
past,2020s,2,19,0.0,0.0,0.0,0.0
past,2020s,2,20,0.0,0.0,0.0,0.0
past,2020s,2,21,0.0,0.0,0.0,0.0
past,2020s,2,22,0.0,0.0,0.0,0.0
past,2020s,2,23,0.0,0.0,0.0,0.0
past,2020s,0,0,0.0,0.0,0.0,0.0
past,2020s,0,1,0.0,0.0,0.0,0.0
past,2020s,0,2,0.0,0.0,0.0,0.0
past,2020s,0,3,0.0,0.0,0.0,0.0
past,2020s,0,4,0.0,0.0,0.0,0.0
past,2020s,0,5,0.0,0.0,0.0,0.0
past,2020s,0,6,0.0,0.0,0.0,0.0
past,2020s,0,7,0.0,0.0,0.0,0.0
past,2020s,0,8,0.0,0.0,0.0,0.0
past,2020s,0,9,0.0,0.0,0.0,0.0
past,2020s,0,10,0.0,0.0,0.0,0.0
past,2020s,0,11,0.0,0.0,0.0,0.0
past,2020s,0,12,0.0,0.0,0.0,0.0
past,2020s,0,13,0.0,0.0,0.0,0.0
past,2020s,0,14,0.0,0.0,0.0,0.0
past,2020s,0,15,0.0,0.0,0.0,0.0
past,2020s,0,16,0.0,0.0,0.0,0.0
past,2020s,0,17,0.0,0.0,0.0,0.0
past,2020s,0,18,0.0,0.0,0.0,0.0
past,2020s,0,19,0.0,0.0,0.0,0.0
past,2020s,0,20,0.0,0.0,0.0,0.0
past,2020s,0,21,0.0,0.0,0.0,0.0
past,2020s,0,22,0.0,0.0,0.0,0.0
past,2020s,0,23,0.0,0.0,0.0,0.0
past,2020s,13,0,0.0,0.0,0.0,0.0
past,2020s,13,1,0.0,0.0,0.0,0.0
past,2020s,13,2,0.0,0.0,0.0,0.0
past,2020s,13,3,0.0,0.0,0.0,0.0
past,2020s,13,4,0.0,0.0,0.0,0.0
past,2020s,13,5,0.0,0.0,0.0,0.0
past,2020s,13,6,0.0,0.0,0.0,0.0
past,2020s,13,7,0.0,0.0,0.0,0.0
past,2020s,13,8,0.0,0.0,0.0,0.0
past,2020s,13,9,0.0,0.0,0.0,0.0
past,2020s,13,10,0.0,0.0,0.0,0.0
past,2020s,13,11,0.0,0.0,0.0,0.0
past,2020s,13,12,0.0,0.0,0.0,0.0
past,2020s,13,13,0.0,0.0,0.0,0.0
past,2020s,13,14,0.0,0.0,0.0,0.0
past,2020s,13,15,0.0,0.0,0.0,0.0
past,2020s,13,16,0.0,0.0,0.0,0.0
past,2020s,13,17,0.0,0.0,0.0,0.0
past,2020s,13,18,0.0,0.0,0.0,0.0
past,2020s,13,19,0.0,0.0,0.0,0.0
past,2020s,13,20,0.0,0.0,0.0,0.0
past,2020s,13,21,0.0,0.0,0.0,0.0
past,2020s,13,22,0.0,0.0,0.0,0.0
past,2020s,13,23,0.0,0.0,0.0,0.0
past,2020s,7,0,0.0,0.0,0.0,0.0
past,2020s,7,1,0.0,0.0,0.0,0.0
past,2020s,7,2,0.0,0.0,0.0,0.0
past,2020s,7,3,0.0,0.0,0.0,0.0
past,2020s,7,4,0.0,0.0,0.0,0.0
past,2020s,7,5,0.0,0.0,0.0,0.0
